iter	MultiClass
224	0.2028643554
225	0.2016469642
226	0.200455505
227	0.199364092
228	0.1983951449
229	0.1977418669
230	0.1968394825
231	0.1962519251
232	0.1956580551
233	0.1952495275
234	0.1940730854
235	0.1932475494
236	0.1925811217
237	0.1918651581
238	0.1911341628
239	0.1904169416
240	0.1898762355
241	0.1894925072
242	0.1884958457
243	0.1879993995
244	0.1873681427
245	0.1864953465
246	0.1856302205
247	0.1846786107
248	0.1834814096
249	0.1821271825
250	0.181620772
251	0.1809646547
252	0.1803002712
253	0.1796974619
254	0.1788935948
255	0.1783330842
256	0.1774400426
257	0.1767448115
258	0.1759516949
259	0.175065079
260	0.1743920385
261	0.1737461177
262	0.1731503017
263	0.1726672408
264	0.1722278358
265	0.1712811677
266	0.1704481891
267	0.1697787847
268	0.1690596697
269	0.1683549119
270	0.167469851
271	0.1667792863
272	0.165957613
273	0.1650983358
274	0.1645562906
275	0.1642636547
276	0.1636829117
277	0.1631687416
278	0.1625134352
279	0.162021727
280	0.1613999428
281	0.1607000679
282	0.1604352876
283	0.1599946575
284	0.1595781796
285	0.1589845087
286	0.1585927363
287	0.1581965125
288	0.1579784046
289	0.1574412707
290	0.1567976497
291	0.155962773
292	0.1556572331
293	0.1551645389
294	0.1547733483
295	0.1543719888
296	0.1539051015
297	0.1531471669
298	0.1528320626
299	0.1522822026
300	0.1516380978
301	0.1511581565
302	0.1501686737
303	0.1496409379
304	0.1491585809
305	0.1484691789
306	0.1481164298
307	0.1476789605
308	0.1468377931
309	0.1464114572
310	0.1462776752
311	0.1458722267
312	0.1452310104
313	0.1446398053
314	0.1441711461
315	0.1435470651
316	0.1430752727
317	0.1426571358
318	0.1421448217
319	0.1418100787
320	0.1410380824
321	0.1407746855
322	0.1403619691
323	0.1397227375
324	0.1393564434
325	0.1386800035
326	0.1382348732
327	0.1378231409
328	0.1374252858
329	0.1370136152
330	0.1363751724
331	0.1356713069
332	0.1352431776
333	0.1348214038
334	0.1345107586
335	0.1339515515
336	0.1336739811
337	0.1333538676
338	0.1331153667
339	0.1326737242
340	0.1321668828
341	0.1318628293
342	0.1312530239
343	0.1305735683
344	0.1302902921
345	0.1298335148
346	0.1293912468
347	0.1289716742
348	0.1287711426
349	0.1281597073
350	0.1277783529
351	0.1273958614
352	0.1267209851
353	0.1261090343
354	0.1255580653
355	0.1251948955
356	0.1247692819
357	0.1243868928
358	0.1240065991
359	0.1236106654
360	0.1231995492
361	0.122818276
362	0.1221781171
363	0.1216239331
364	0.121385397
365	0.1211197569
366	0.1205884824
367	0.1201209358
368	0.1198805779
369	0.1195846863
370	0.1192287555
371	0.1186935422
372	0.1184846556
373	0.1180478222
374	0.1175841564
375	0.1174508971
376	0.1170411217
377	0.1168220126
378	0.1164655761
379	0.1161515478
380	0.1158075349
381	0.1154513843
382	0.1152065977
383	0.1149815036
384	0.1146610293
385	0.1142009391
386	0.1135976119
387	0.1133370109
388	0.1129344267
389	0.1126161811
390	0.112199236
391	0.1118226849
392	0.111381275
393	0.1110917352
394	0.1109366988
395	0.1107187433
396	0.1104045616
397	0.1099593296
398	0.1096008275
399	0.1094641497
400	0.1091442359
401	0.1086482202
402	0.1084187253
403	0.1080106276
404	0.1077322376
405	0.1074235012
406	0.1072105983
407	0.1069317864
408	0.10655776
409	0.1062323163
410	0.1059967818
411	0.1057217204
412	0.1054270978
413	0.1052278763
414	0.1047487322
415	0.1044105772
416	0.1038579885
417	0.1035170177
418	0.1030794177
419	0.1026852257
420	0.10233287
421	0.1020666127
422	0.1017120493
423	0.1014064441
424	0.1009996205
425	0.1006166442
426	0.1002799222
427	0.09999914947
428	0.09978913938
429	0.09935341243
430	0.09915317329
431	0.09888127105
432	0.09872490124
433	0.09847503525
434	0.09822995279
435	0.09790573702
436	0.0976916786
437	0.09738650002
438	0.09709432
439	0.09684502795
440	0.09655242044
441	0.09628410165
442	0.09612999468
443	0.09587682813
444	0.09563919127
445	0.09542706702
446	0.09510100985
447	0.09491198999
448	0.09471981121
449	0.09439967062
450	0.09412834461
451	0.09378050473
452	0.0935307772
453	0.09326849279
454	0.09306550682
455	0.09285616314
456	0.09257118935
457	0.09238274242
458	0.09207515423
459	0.0919834046
460	0.09176221497
461	0.09156383827
462	0.09137687555
463	0.09111937228
464	0.09086212884
465	0.09069712508
466	0.09031918514
467	0.08999103827
468	0.08986128721
469	0.0895437254
470	0.08935824175
471	0.0891523926
472	0.08895147738
473	0.08871787135
474	0.08850384781
475	0.08834548756
476	0.08826179152
477	0.08806308989
478	0.08778741019
479	0.08756416225
480	0.08740152895
481	0.087308365
482	0.08699065766
483	0.08669356711
484	0.08638087614
485	0.08622428474
486	0.08600038892
487	0.08578603567
488	0.08553902155
489	0.08524409339
490	0.08513887567
491	0.08497496045
492	0.08481871981
493	0.08462241477
494	0.0843700686
495	0.08416917592
496	0.08396316315
497	0.08373931586
498	0.08360854795
499	0.0833315389
500	0.08316835023
501	0.08300293527
502	0.08287299524
503	0.08266652935
504	0.08256107607
505	0.08239654731
506	0.08217860151
507	0.08198463804
508	0.08177236514
509	0.08148022822
510	0.08129907002
511	0.0811133753
512	0.08081156267
513	0.08054768868
514	0.0803007519
515	0.08011542411
516	0.07992114116
517	0.0796800161
518	0.07952612581
519	0.07931463504
520	0.07907395838
521	0.07886031905
522	0.0786563064
523	0.07843696564
524	0.07820488959
525	0.07793283506
526	0.07767015647
527	0.07748002695
528	0.07721029102
529	0.07701926742
530	0.07682634219
531	0.07668190552
532	0.0765174608
533	0.07633169685
534	0.07615769701
535	0.07605549909
536	0.07585031324
537	0.07575282024
538	0.07551821263
539	0.07536220956
540	0.07523193342
541	0.07511011043
542	0.07487011745
543	0.07476863787
544	0.07470842641
545	0.07460322353
546	0.07439027769
547	0.07425157023
548	0.07406022581
549	0.07393727979
550	0.07376653721
551	0.07361523519
552	0.07335362251
553	0.07317935221
554	0.07292535646
555	0.07273518443
556	0.07254254708
557	0.07241772919
558	0.07233188899
559	0.07219005205
560	0.07191445319
561	0.0716145496
562	0.07139401855
563	0.07118964999
564	0.07104971595
565	0.07087439732
566	0.07057314822
567	0.07036469806
568	0.07021407201
569	0.0700691685
570	0.06985158798
571	0.06967091827
572	0.06948757075
573	0.06930172358
574	0.06910077563
575	0.06891803899
576	0.06879799441
577	0.06866368926
578	0.06854391966
579	0.06848629121
580	0.06827526158
581	0.06816867786
582	0.06800486344
583	0.06792548757
584	0.06783920584
585	0.06768130913
586	0.06757777898
587	0.06740225318
588	0.06727879475
589	0.06715728964
590	0.0670423398
591	0.0668389222
592	0.06664792225
593	0.06655390825
594	0.06639138582
595	0.06619765482
596	0.0660451829
597	0.06590530807
598	0.06578471538
599	0.06560550687
600	0.06548904229
601	0.06529742669
602	0.06509047821
603	0.06490972751
604	0.06468079504
605	0.06459150654
606	0.06445888928
607	0.06433496751
608	0.06424369768
609	0.06414073513
610	0.06400983993
611	0.06395031513
612	0.06375386775
613	0.06355298418
614	0.06347211147
615	0.06333743683
616	0.06316753085
617	0.06299223615
618	0.06284884178
619	0.062711435
620	0.06255235055
621	0.06238367458
622	0.06224321154
623	0.0621404966
624	0.0620493533
625	0.06188461612
626	0.06176331565
627	0.06161971579
628	0.06146985477
629	0.06139555751
630	0.0612631665
631	0.06113392989
632	0.06096161921
633	0.06082982254
634	0.06068146138
635	0.06056029322
636	0.06040245184
637	0.06035119164
638	0.0602070919
639	0.06004705867
640	0.05996505375
641	0.05982272268
642	0.05963025322
643	0.05946200315
644	0.05931915036
645	0.05918172227
646	0.05902786786
647	0.05892182747
648	0.05878317043
649	0.05869581515
650	0.05859081739
651	0.05841398072
652	0.05828031017
653	0.05812234738
654	0.05797879081
655	0.05778194042
656	0.05763198551
657	0.05752532565
658	0.05739305386
659	0.05725682158
660	0.05714012785
661	0.05701174087
662	0.05689066912
663	0.05675002859
664	0.05660223818
665	0.05654692506
666	0.05641368551
667	0.05631133383
668	0.0561484524
669	0.05605930106
670	0.05598502036
671	0.05590270639
672	0.05578795221
673	0.05562479886
674	0.05553660783
675	0.05542569208
676	0.05530045263
677	0.0551486687
678	0.05506285426
679	0.05499278852
680	0.05487574588
681	0.05474175089
682	0.0546669138
683	0.05456709648
684	0.05450183941
685	0.0543358996
686	0.0542108259
687	0.05409917806
688	0.05400153548
689	0.05392972674
690	0.0538314395
691	0.05369385477
692	0.0536287128
693	0.05350475488
694	0.05333204776
695	0.05317629761
696	0.05306030587
697	0.05302409692
698	0.05292380037
699	0.05283562183
700	0.05275301436
701	0.05259634877
702	0.05249740873
703	0.05242257789
704	0.0523196658
705	0.05215851471
706	0.05205300363
707	0.05195524749
708	0.05185327013
709	0.05177808295
710	0.05163858809
711	0.05156615395
712	0.0513630798
713	0.05121511343
714	0.05110573329
715	0.05104184745
716	0.05098854532
717	0.05092622626
718	0.05079834603
719	0.05068566493
720	0.0506101488
721	0.05053972633
722	0.05039166386
723	0.05026460472
724	0.05018062767
725	0.0500330829
726	0.04997897088
727	0.04991585419
728	0.04978107491
729	0.04973338966
730	0.04963090525
731	0.04952461184
732	0.04937591313
733	0.04928332002
734	0.04920622473
735	0.04910814629
736	0.04899639954
737	0.04894336201
738	0.048785817
739	0.04874314553
740	0.0486991131
741	0.04862158349
742	0.04851974687
743	0.04839494758
744	0.04830076445
745	0.04818352716
746	0.04802881337
747	0.04796192559
748	0.04786654605
749	0.04777005939
750	0.04769262905
751	0.04763125937
752	0.04754107144
753	0.04742457806
754	0.04732153291
755	0.04728304982
756	0.0472322823
757	0.04717399971
758	0.04711470075
759	0.04702916526
760	0.04690513994
761	0.04679670626
762	0.04667860345
763	0.04656672671
764	0.04647633561
765	0.0464236073
766	0.04629518097
767	0.04619654874
768	0.04612322838
769	0.04605027534
770	0.04600943932
771	0.04593360506
772	0.0458132158
773	0.04575935755
774	0.04562910699
775	0.04554172791
776	0.04542357838
777	0.04537569634
778	0.04531462406
779	0.04523670447
780	0.04517694588
781	0.04510665969
782	0.04504548148
783	0.04499844883
784	0.04495418749
785	0.04488841658
786	0.04480701619
787	0.04470465945
788	0.04462945096
789	0.04454786056
790	0.04451181784
791	0.0444469836
792	0.04437057079
793	0.04427458889
794	0.04417142292
795	0.04411061668
796	0.04401970113
797	0.04395566658
798	0.04391026079
799	0.04383965178
800	0.04376138754
801	0.043633484
802	0.04355467102
803	0.04350308776
804	0.04342780557
805	0.04337373812
806	0.0433001241
807	0.04318932274
808	0.04311770924
809	0.04307193185
810	0.0429727975
811	0.04290399508
812	0.04280333722
813	0.04273325377
814	0.04265291976
815	0.04259918194
816	0.04254742036
817	0.04249073961
818	0.04240999519
819	0.04234310912
820	0.04230731312
821	0.04227490567
822	0.04224480176
823	0.04217474513
824	0.04211761027
825	0.04207906928
826	0.04200624636
827	0.04191124866
828	0.04183055678
829	0.04175406858
830	0.0416769918
831	0.04158233616
832	0.04150056171
833	0.04141376666
834	0.04138498207
835	0.04135427877
836	0.04132978636
837	0.04128051072
838	0.04119687532
839	0.04109017718
840	0.04101647126
841	0.04094130929
842	0.04080380692
843	0.04075769432
844	0.04065614814
845	0.04058363258
846	0.04055037095
847	0.04046851712
848	0.04034486215
849	0.04021668343
850	0.04011896789
851	0.0400395846
852	0.0400021736
853	0.0399525973
854	0.03988145748
855	0.03979821954
856	0.0397039331
857	0.03966210801
858	0.03958978348
859	0.03951751717
860	0.03945564567
861	0.03936821909
862	0.03927577024
863	0.03924517035
864	0.0392125879
865	0.03915467986
866	0.0390891318
867	0.03900162204
868	0.03892314147
869	0.03887147567
870	0.03880691435
871	0.03872447547
872	0.03868469642
873	0.03860519613
874	0.03855553988
875	0.03845529156
876	0.03838986176
877	0.03832198578
878	0.03825159658
879	0.03818050409
880	0.03811798417
881	0.03807306873
882	0.03803062241
883	0.03798364471
884	0.0379365452
885	0.03787127048
886	0.03777718174
887	0.03772414244
888	0.03757717355
889	0.03751432271
890	0.03746590448
891	0.03739102142
892	0.03735334038
893	0.03730448793
894	0.03726995451
895	0.03718764033
896	0.03709535473
897	0.03707194797
898	0.03699882671
899	0.03693219619
900	0.03689204198
901	0.03684994325
902	0.03678174887
903	0.0367470089
904	0.03668996259
905	0.03662933624
906	0.03659404365
907	0.03650453428
908	0.03643742797
909	0.03636511887
910	0.03633226504
911	0.03627127529
912	0.03620312687
913	0.03614468343
914	0.03608651872
915	0.03605030513
916	0.03600830185
917	0.03592613335
918	0.03586983484
919	0.03582868418
920	0.03579432031
921	0.03573852477
922	0.03565249127
923	0.0356142815
924	0.03557031712
925	0.03554099988
926	0.03547049856
927	0.03538583939
928	0.03532791421
929	0.03527202628
930	0.03524466653
931	0.03518661677
932	0.03514051665
933	0.03508837209
934	0.0350261342
935	0.03496512249
936	0.03489114564
937	0.03484202092
938	0.03480242535
939	0.03474338849
940	0.03471770597
941	0.03465596025
942	0.03459904201
943	0.03455691528
944	0.03450943806
945	0.03446557433
946	0.03440009583
947	0.03434461187
948	0.03430466484
949	0.03423885155
950	0.03416781747
951	0.03411996716
952	0.03407618691
953	0.0340356526
954	0.03396784462
955	0.0339121772
956	0.03386182355
957	0.03377045644
958	0.03373240864
959	0.0336786001
960	0.03363552262
961	0.03357570765
962	0.03353424332
963	0.03348238077
964	0.03343752136
965	0.03337227252
966	0.03334222403
967	0.03327446373
968	0.0331955393
969	0.03314158239
970	0.03307774822
971	0.0330262696
972	0.03296781738
973	0.03293417792
974	0.03286123296
975	0.03281676072
976	0.03276906647
977	0.0327144882
978	0.0326568304
979	0.03263167005
980	0.03257455715
981	0.03249431564
982	0.03243077273
983	0.03239747966
984	0.03235499469
985	0.03231832884
986	0.03230257567
987	0.03226787742
988	0.03223201623
989	0.03216557788
990	0.03210659247
991	0.03208856254
992	0.0320422035
993	0.03199781594
994	0.03195728894
995	0.03191079842
996	0.03182610779
997	0.03179665129
998	0.03177313541
999	0.0317373525
